id_geneset_name	meta_source	meta_publication	gene_symbol
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD19
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD1C
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD22
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD37
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD69
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD72
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD79A
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CD79B
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CR2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	CXCR5
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	EAF2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	FCER2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	FCGR2B
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	FCMR
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	FCRL2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	FRK
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	GPR18
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	GUSBP11
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	HHEX
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	HLA-DOB
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IGHD
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IGHM
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IGKC
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IGLL3P
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IL4R
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	IRF8
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	LINC00921
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	LTB
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	LY86
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	MEP1A
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	MICAL3
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	MS4A1
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	NIPSNAP3B
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	NMBR
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	P2RX5
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	P2RY14
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	PNOC
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	PSG2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	PTPRCAP
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	RALGPS2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	RASGRP2
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	RUBCNL
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	SELL
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	SIK1
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	SLC12A1
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	SPIB
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	STAP1
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	TCL1A
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	UGT1A8
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	VPREB3
cibersort_leukocyte_signature_lm22_b_cells_naive_25822800	cibersort	25822800	ZNF286A
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	ARHGAP22
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	BIRC3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL13
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL17
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL18
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL19
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL20
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL22
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL5
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCL8
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CCR7
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CD1B
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CD1E
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CD80
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CD86
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CHST7
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CLIC2
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CXCL10
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CXCL11
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	CYP27A1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	DHX58
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	EBI3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	ETV3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	FPR3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	HESX1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	HTR2B
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	IDO1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	IFI44L
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	IL12B
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	IL2RA
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	KYNU
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	LAMP3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	MAP3K13
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	MMP12
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	MSC
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	NR4A3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	PDCD1LG2
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	PLA1A
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	PLA2G7
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	PTGIR
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	RASSF4
