"cluster_gr"	"annot"
"HRASLS"	"36"	"S_15"
"ZFP57"	"6"	"S_5"
"TMEM106C"	"106"	"S_30"
"ZSCAN22"	"30"	"S_31"
"FBLN7"	"70"	"S_26"
"DES"	"36"	"S_15"
"SGSM1"	"30"	"S_31"
"CKAP2L"	"34"	"S_14"
"RASD1"	"26"	"S_25"
"ITIH1"	"47"	"S_22"
"NTRK3"	"36"	"S_15"
"MATK"	"6"	"S_5"
"FCGR2B"	"2"	"S_2"
"NEFL"	"36"	"S_15"
"S100A12"	"17"	"S_9"
"WSCD1"	"36"	"S_15"
"IL18RAP"	"6"	"S_5"
"FGF9"	"1"	"S_1"
"TJP1"	"33"	"S_13"
"GRM2"	"1"	"S_1"
"IRF8"	"2"	"S_2"
"DDX43"	"6"	"S_5"
"KIF15"	"34"	"S_14"
"RAB30"	"5"	"S_4"
"SPIRE2"	"30"	"S_31"
"ASGR2"	"17"	"S_9"
"PADI4"	"17"	"S_9"
"SLCO2B1"	"4"	"S_3"
"FAM64A"	"34"	"S_14"
"CPA1"	"36"	"S_15"
"LINC00574"	"30"	"S_31"
"FPR2"	"17"	"S_9"
"AKR1C3"	"6"	"S_5"
"KIFC1"	"34"	"S_14"
"KLRC4"	"13"	"S_7"
"GAPT"	"2"	"S_2"
"C19orf48"	"106"	"S_30"
"STMN1"	"106"	"S_30"
"KLHL14"	"15"	"S_8"
"CD36"	"17"	"S_9"
"MYT1L"	"36"	"S_15"
"ASB5"	"65"	"S_23"
"B4GALNT3"	"6"	"S_5"
"SERHL2"	"26"	"S_25"
"CRIP2"	"33"	"S_13"
"ATP6V1G2"	"36"	"S_15"
"B4GALNT1"	"36"	"S_15"
"RFC5"	"58"	"S_28"
"RNF165"	"6"	"S_5"
"KIR2DL1"	"6"	"S_5"
"GPT"	"27"	"S_12"
"NCF1B"	"2"	"S_2"
"ALG14"	"155"	"S_33"
"KIR3DL1"	"6"	"S_5"
"WDHD1"	"58"	"S_28"
"KIF23"	"34"	"S_14"
"CAMK4"	"49"	"S_19"
"CTSW"	"13"	"S_7"
"DHCR24"	"106"	"S_30"
"DTYMK"	"106"	"S_30"
"LTF"	"20"	"S_10"
"SLC18A2"	"1"	"S_1"
"MS4A10"	"30"	"S_31"
"TM4SF18"	"20"	"S_10"
"BUB1"	"34"	"S_14"
"DLX6-AS1"	"30"	"S_31"
"RCN3"	"42"	"S_17"
"GPR35"	"17"	"S_9"
"KIF2C"	"34"	"S_14"
"MLC1"	"6"	"S_5"
"ESPNL"	"36"	"S_15"
"COL19A1"	"15"	"S_8"
"PLEKHG5"	"20"	"S_10"
"MDK"	"33"	"S_13"
"WDR34"	"106"	"S_30"
"NCAM1"	"6"	"S_5"
"LILRB2"	"17"	"S_9"
"MCM2"	"58"	"S_28"
"STPG2"	"20"	"S_10"
"CDC25C"	"34"	"S_14"
"ZNF805"	"30"	"S_31"
"HCAR2"	"17"	"S_9"
"PRKCQ-AS1"	"49"	"S_19"
"PSORS1C3"	"6"	"S_5"
"S100A16"	"33"	"S_13"
"PRC1"	"34"	"S_14"
"KCNH2"	"1"	"S_1"
"PBX4"	"70"	"S_26"
"CALD1"	"33"	"S_13"
"HIST1H4F"	"34"	"S_14"
"HIST1H2BO"	"26"	"S_25"
"RNU11"	"26"	"S_25"
"TSPAN6"	"33"	"S_13"
"SGCE"	"33"	"S_13"
"FAM129C"	"15"	"S_8"
"FBN3"	"47"	"S_22"
"CLEC4F"	"27"	"S_12"
"CD300E"	"17"	"S_9"
"KRT19"	"1"	"S_1"
"FUT7"	"26"	"S_25"
"LIPN"	"17"	"S_9"
"CLEC17A"	"15"	"S_8"
"HLA-DPB1"	"2"	"S_2"
"NTRK1"	"1"	"S_1"
"MYLPF"	"26"	"S_25"
"LINC00672"	"30"	"S_31"
"CYP4F3"	"1"	"S_1"
"CSF3R"	"17"	"S_9"
"C1QTNF6"	"30"	"S_31"
"ST8SIA6"	"6"	"S_5"
"TMEM132E"	"36"	"S_15"
"NLRP3"	"17"	"S_9"
"NCAPG"	"34"	"S_14"
"CKMT1A"	"36"	"S_15"
"NPR1"	"20"	"S_10"
"JAG2"	"20"	"S_10"
"ANPEP"	"17"	"S_9"
"FSTL1"	"33"	"S_13"
"SCN2A"	"1"	"S_1"
"PLCG2"	"15"	"S_8"
"DTL"	"58"	"S_28"
"PYCR1"	"155"	"S_33"
"NRXN1"	"1"	"S_1"
"VSTM4"	"30"	"S_31"
"LRRC26"	"26"	"S_25"
"S100Z"	"17"	"S_9"
"HMMR"	"34"	"S_14"
"NCF1C"	"2"	"S_2"
"E2F1"	"58"	"S_28"
"FKBP10"	"33"	"S_13"
"CSTA"	"17"	"S_9"
"FAM107A"	"20"	"S_10"
"ZNF878"	"1"	"S_1"
"TAL1"	"20"	"S_10"
"LAMP5"	"26"	"S_25"
"TGFBR3"	"6"	"S_5"
"FCRL1"	"15"	"S_8"
"ARMC12"	"26"	"S_25"
"SEL1L3"	"5"	"S_4"
"DEPDC1"	"34"	"S_14"
"PTRF"	"33"	"S_13"
"IGSF1"	"1"	"S_1"
"CAV1"	"155"	"S_33"
"TUBA3FP"	"30"	"S_31"
"GIMAP6"	"80"	"S_29"
"ABCA12"	"26"	"S_25"
"NLRP7"	"26"	"S_25"
"LRRC70"	"20"	"S_10"
"LILRA1"	"17"	"S_9"
"SLC35F3"	"26"	"S_25"
"WNT5B"	"47"	"S_22"
"PLS3"	"33"	"S_13"
"C19orf38"	"17"	"S_9"
"CLEC4D"	"17"	"S_9"
"UPK2"	"47"	"S_22"
"WWTR1"	"33"	"S_13"
"NFE2"	"17"	"S_9"
"POLE2"	"58"	"S_28"
"ZNF366"	"27"	"S_12"
"COL20A1"	"1"	"S_1"
"KIF14"	"34"	"S_14"
"NUDT10"	"47"	"S_22"
"REEP1"	"36"	"S_15"
"BCL11A"	"15"	"S_8"
"MIR191"	"26"	"S_25"
"PRKG2"	"1"	"S_1"
"SPAG5"	"34"	"S_14"
"CADPS"	"1"	"S_1"
"RHOV"	"36"	"S_15"
"CRMP1"	"36"	"S_15"
"SLC46A2"	"17"	"S_9"
"PIK3AP1"	"2"	"S_2"
"PPP1R17"	"36"	"S_15"
"ANLN"	"34"	"S_14"
"CEP19"	"30"	"S_31"
"EPHB1"	"26"	"S_25"
"CLGN"	"36"	"S_15"
"EMCN"	"20"	"S_10"
"WFIKKN1"	"36"	"S_15"
"SLC25A33"	"26"	"S_25"
"RSPO3"	"20"	"S_10"
"ACHE"	"47"	"S_22"
"ARL5C"	"26"	"S_25"
"LMOD3"	"30"	"S_31"
"DEPDC1B"	"34"	"S_14"
"SMYD4"	"30"	"S_31"
"TMEFF2"	"1"	"S_1"
"POU6F2"	"36"	"S_15"
"FAM65B"	"24"	"S_11"
"HIST1H3G"	"34"	"S_14"
"GPRC5B"	"33"	"S_13"
"KHDRBS2"	"15"	"S_8"
"RORA"	"70"	"S_26"
"RASGRP2"	"24"	"S_11"
"KLHL25"	"36"	"S_15"
"MOG"	"30"	"S_31"
"RMI2"	"58"	"S_28"
"C17orf99"	"47"	"S_22"
"TMEM14A"	"106"	"S_30"
"SUSD1"	"26"	"S_25"
"FMR1-AS1"	"1"	"S_1"
"ASPM"	"34"	"S_14"
"FAM160A1"	"26"	"S_25"
"IL1RAPL1"	"1"	"S_1"
"HIST1H3B"	"34"	"S_14"
"MARCH1"	"2"	"S_2"
"BOLL"	"26"	"S_25"
"MAGED1"	"155"	"S_33"
"PACSIN1"	"26"	"S_25"
"CHPF"	"155"	"S_33"
"GPC5"	"47"	"S_22"
"PLAC8"	"24"	"S_11"
"C9orf72"	"17"	"S_9"
"SERPINH1"	"33"	"S_13"
"FNDC5"	"36"	"S_15"
"ESPL1"	"34"	"S_14"
"PMP22"	"42"	"S_17"
"SYCP2L"	"26"	"S_25"
"TTC38"	"6"	"S_5"
"CLEC12B"	"17"	"S_9"
"NXN"	"30"	"S_31"
"TRIM29"	"47"	"S_22"
"FLT3LG"	"49"	"S_19"
"IGDCC3"	"36"	"S_15"
"SAMSN1-AS1"	"1"	"S_1"
"ASGR1"	"17"	"S_9"
"ROBO4"	"20"	"S_10"
