Barcode	Donor	Tissue	celltype_sub	Sample	Histology	Tissue_sub
PP10-40-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-4-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-41-0322	D20170322	Blood	Mac-C5-VCAN	D20170322-Blood-CD45+	HCC	Blood
PP10-45-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-46-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-47-0322	D20170322	Blood	Mac-C5-VCAN	D20170322-Blood-CD45+	HCC	Blood
PP10-49-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-50-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-5-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-55-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-56-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-57-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-58-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-59-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-6-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-63-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-64-0322	D20170322	Blood	Mac-C5-VCAN	D20170322-Blood-CD45+	HCC	Blood
PP10-65-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-67-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-7-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-73-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-74-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-75-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-78-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-79-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-8-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-82-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-84-0322	D20170322	Blood	Mac-C5-VCAN	D20170322-Blood-CD45+	HCC	Blood
PP10-86-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-88-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-89-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-90-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-9-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-93-0322	D20170322	Blood	Mono-C2-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP10-94-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-95-0322	D20170322	Blood	Mac-C5-VCAN	D20170322-Blood-CD45+	HCC	Blood
PP10-97-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-98-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP10-99-0322	D20170322	Blood	Mono-C1-CD14	D20170322-Blood-CD45+	HCC	Blood
PP7-10-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-101-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-102-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-103-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-1-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-104-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-105-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-106-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-107-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-108-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-111-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-112-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-113-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-114-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-116-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-117-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-118-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-119-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-120-0322	D20170322	Blood	CD8-C2-MKI67	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-12-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-121-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-124-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-125-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-126-0322	D20170322	Blood	CD4-C7-FOXP3	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-127-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-129-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-130-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-131-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-133-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-134-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-135-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-136-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-137-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-138-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-139-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-140-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-14-0322	D20170322	Blood	CD4-C7-FOXP3	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-141-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-142-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-144-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-145-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-146-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-147-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-148-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-149-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-150-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-15-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-151-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-153-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-154-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-155-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-157-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-158-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-159-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-160-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-16-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-162-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-163-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-164-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-165-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-166-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-167-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-168-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-169-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-170-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-17-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-171-0322	D20170322	Blood	CD8-C8-PDCD1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-172-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-173-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-175-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-176-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-179-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-180-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-181-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-182-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-183-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-185-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-19-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-194-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-195-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-196-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-197-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-199-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-200-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-20-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-201-0322	D20170322	Blood	CD8-C8-PDCD1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-2-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-22-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-23-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-25-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-26-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-27-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-28-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-29-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-30-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-3-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-31-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-32-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-33-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-35-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-38-0322	D20170322	Blood	CD8-C3-IL7R	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-39-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-40-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-4-0322	D20170322	Blood	CD4-C7-FOXP3	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-41-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-43-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-44-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-45-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-46-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-47-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-48-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-49-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-50-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-5-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-51-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-53-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-54-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-55-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-56-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-57-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-59-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-60-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-6-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-61-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-62-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-63-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-64-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-66-0322	D20170322	Blood	CD8-C3-IL7R	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-67-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-68-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-69-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-72-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-74-0322	D20170322	Blood	CD8-C3-IL7R	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-75-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-77-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-78-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-79-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-80-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-81-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-82-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-85-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-86-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-88-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-89-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-9-0322	D20170322	Blood	CD8-C6-GZMK	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-91-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-92-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-94-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-95-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-96-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-97-0322	D20170322	Blood	CD4-C3-ANXA1	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-98-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP7-99-0322	D20170322	Blood	CD4-C1-CCR7	D20170322-Blood-CD45+CD3+	HCC	Blood
PP9-100-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-10-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-102-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-1-0322	D20170322	Blood	Lymphoid-B-Plasma	D20170322-Blood-CD45+	HCC	Blood
PP9-107-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-11-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+	HCC	Blood
PP9-111-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-113-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-114-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-117-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-12-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-122-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-124-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-125-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-126-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-128-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-130-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-131-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-132-0322	D20170322	Blood	NK-C2-SELL	D20170322-Blood-CD45+	HCC	Blood
PP9-133-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-134-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+	HCC	Blood
PP9-136-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-137-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-138-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-140-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-14-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-141-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-142-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-145-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-149-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-150-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-15-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-152-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+	HCC	Blood
PP9-153-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-159-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-161-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-162-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-163-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-165-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-166-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-167-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-168-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-170-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-17-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-172-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-175-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-176-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-178-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-182-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-183-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-186-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-187-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-191-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-193-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-197-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-198-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-199-0322	D20170322	Blood	NK-C2-SELL	D20170322-Blood-CD45+	HCC	Blood
PP9-200-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-20-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+	HCC	Blood
PP9-202-0322	D20170322	Blood	NK-C3-IFNG	D20170322-Blood-CD45+	HCC	Blood
PP9-203-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-2-0322	D20170322	Blood	CD8-C4-CX3CR1	D20170322-Blood-CD45+	HCC	Blood
PP9-211-0322	D20170322	Blood	NK-C1-FCGR3A	D20170322-Blood-CD45+	HCC	Blood
PP9-214-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
PP9-215-0322	D20170322	Blood	Lymphoid-B	D20170322-Blood-CD45+	HCC	Blood
