Barcode	Donor	Tissue	celltype_sub	Sample	Histology	Tissue_sub
NL-plus-8-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-81-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-82-0222	D20170222	Normal	NK-C7-CD160	D20170222-Normal-CD45+	HCC	Normal
NL-plus-83-0222	D20170222	Normal	Mac-C5-VCAN	D20170222-Normal-CD45+	HCC	Normal
NL-plus-84-0222	D20170222	Normal	NK-C1-FCGR3A	D20170222-Normal-CD45+	HCC	Normal
NL-plus-85-0222	D20170222	Normal	NK-C1-FCGR3A	D20170222-Normal-CD45+	HCC	Normal
NL-plus-86-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-89-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-90-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-9-0222	D20170222	Normal	CD8-C4-CX3CR1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-91-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-92-0222	D20170222	Normal	NK-C7-CD160	D20170222-Normal-CD45+	HCC	Normal
NL-plus-93-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
PL10-0222	D20170222	Blood	Lymphoid-B	D20170222-Blood-CD45+	HCC	Blood
PL1-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL11-0222	D20170222	Blood	Lymphoid-B	D20170222-Blood-CD45+	HCC	Blood
PL12-0222	D20170222	Blood	CD8-C6-GZMK	D20170222-Blood-CD45+	HCC	Blood
PL13-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL14-0222	D20170222	Blood	CD4-C1-CCR7	D20170222-Blood-CD45+	HCC	Blood
PL15-0222	D20170222	Blood	CD4-C1-CCR7	D20170222-Blood-CD45+	HCC	Blood
PL16-0222	D20170222	Blood	CD8-C4-CX3CR1	D20170222-Blood-CD45+	HCC	Blood
PL17-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL18-0222	D20170222	Blood	CD4-C1-CCR7	D20170222-Blood-CD45+	HCC	Blood
PL19-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL20-0222	D20170222	Blood	CD8-C4-CX3CR1	D20170222-Blood-CD45+	HCC	Blood
PL2-0222	D20170222	Blood	NK-C1-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL21-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL22-0222	D20170222	Blood	NK-C1-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL23-0222	D20170222	Blood	CD8-C6-GZMK	D20170222-Blood-CD45+	HCC	Blood
PL24-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL25-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL26-0222	D20170222	Blood	ILCs	D20170222-Blood-CD45+	HCC	Blood
PL27-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL28-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL29-0222	D20170222	Blood	CD8-C4-CX3CR1	D20170222-Blood-CD45+	HCC	Blood
PL30-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL3-0222	D20170222	Blood	CD8-C4-CX3CR1	D20170222-Blood-CD45+	HCC	Blood
PL31-0222	D20170222	Blood	CD8-C6-GZMK	D20170222-Blood-CD45+	HCC	Blood
PL32-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL33-0222	D20170222	Blood	CD4-C1-CCR7	D20170222-Blood-CD45+	HCC	Blood
PL34-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL35-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL36-0222	D20170222	Blood	NK-C1-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL37-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL38-0222	D20170222	Blood	Lymphoid-B	D20170222-Blood-CD45+	HCC	Blood
PL39-0222	D20170222	Blood	Mono-C2-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL40-0222	D20170222	Blood	NK-C5-CD69	D20170222-Blood-CD45+	HCC	Blood
PL4-0222	D20170222	Blood	Mono-C2-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL41-0222	D20170222	Blood	NK-C1-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL42-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL5-0222	D20170222	Blood	CD8-C3-IL7R	D20170222-Blood-CD45+	HCC	Blood
PL53-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL54-0222	D20170222	Blood	Mono-C1-CD14	D20170222-Blood-CD45+	HCC	Blood
PL6-0222	D20170222	Blood	CD4-C3-ANXA1	D20170222-Blood-CD45+	HCC	Blood
PL7-0222	D20170222	Blood	CD8-C4-CX3CR1	D20170222-Blood-CD45+	HCC	Blood
PL8-0222	D20170222	Blood	Mono-C2-FCGR3A	D20170222-Blood-CD45+	HCC	Blood
PL9-0222	D20170222	Blood	Lymphoid-B-Plasma	D20170222-Blood-CD45+	HCC	Blood
PNL4-0222	D20170222	Blood	Mac-C5-VCAN	D20170222-Blood-CD45+	HCC	Blood
TL-plus-10-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-1-0222	D20170222	Tumor	NK-C4-IFNG-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-11-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-12-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-13-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-14-0222	D20170222	Tumor	NK-C4-IFNG-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-15-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-16-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-17-0222	D20170222	Tumor	NK-C8-CD160-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-18-0222	D20170222	Tumor	CD8-C9-SLC4A10	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-19-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-20-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-2-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-21-0222	D20170222	Tumor	NK-C5-CD69	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-22-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-23-0222	D20170222	Tumor	CD8-C7-KLRD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-24-0222	D20170222	Tumor	Lymphoid-B	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-25-0222	D20170222	Tumor	CD8-C2-MKI67	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-27-0222	D20170222	Tumor	Mac-C2-C1QA	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-28-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-29-0222	D20170222	Tumor	Lymphoid-B	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-30-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-3-0222	D20170222	Tumor	NK-C4-IFNG-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-31-0222	D20170222	Tumor	DC-C1-CD1C	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-32-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-33-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-34-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-35-0222	D20170222	Tumor	CD4-C4-IL7R	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-36-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-38-0222	D20170222	Tumor	NK-C7-CD160	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-39-0222	D20170222	Tumor	Mac-C1-THBS1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-40-0222	D20170222	Tumor	DC-C3-CLEC9A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-4-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-41-0222	D20170222	Tumor	Mac-C3-APOE	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-42-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-43-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-44-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-45-0222	D20170222	Tumor	CD8-C2-MKI67	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-46-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-47-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-48-0222	D20170222	Tumor	NK-C4-IFNG-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-49-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-50-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-5-0222	D20170222	Tumor	CD8-C9-SLC4A10	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-51-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-52-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-53-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-54-0222	D20170222	Tumor	Lymphoid-B-Plasma	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-55-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-56-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-57-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-58-0222	D20170222	Tumor	DC-C1-CD1C	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-59-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-60-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-6-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-61-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
